,PhraseNo,Phrase,IsHateSpeech
7,8,"['Menna', 'ratawal', 'menna', 'minissu', 'ape', 'ratawal', 'wala', 'inna', 'jathin', 'thunema', 'gothrikayo', 'tika', 'manussayo', 'karala', 'inna', 'wenawa']",YES
11,12,"['paduway', 'hitahan', 'beri', 'weda', 'nokaran', 'bat', 'eka', 'gaththada', 'bole', 'elluwada', 'oka', 'karagena', 'inna', 'oyala', 'desapalanayata', 'atha', 'daruwan', 'therum', 'ganna', 'nikan', 'thiyena', 'prrsiddath', 'nethi', 'karanna', 'epa']",YES
12,13,"['muth', 'kata', 'arinne', 'anik', 'unta', 'witharai', 'jathiyata', 'agamata', 'sadda', 'na', 'endiyawata', 'koti', 'ganan', 'denawa', 'ahinsakayant', 'ape', 'rate', 'unta', 'mukuth', 'na']",YES
13,14,"['songs', 'kanna', 'epa', 'buruwo', 'kochchara', 'lassana', 'sindu', 'kanna', 'epa', 'ubalata', 'song', 'karanna', 'barinam', 'nikan', 'edapan', 'thiyana', 'ewa', 'kanna', 'epa']",YES
14,15,"['Muth', 'nanna', 'yanne', 'kridakayanta', 'ground', 'walata', 'wena', 'asadaranakam', 'walata', 'wachanayak', 'eliyata', 'danne', 'nathi', 'aka', 'rata', 'hadanna', 'yanawa', 'Mahela', 'karanam', 'api', 'akenma', 'set']",YES
15,16,"['Ai', 'mahinda', 'gen', 'polonnaruve', 'valikande', 'hmbawnaAkkara', '1800', 'maddida', 'sanga', 'den', 'unp', 'yen', 'akkara', 'kiyak', 'onida', 'Apita', 'ogama', 'danna', 'kaururh', 'nane', 'dun', 'noth', 'apith', 'dannava', 'karan', 'naoni', 'vada']",YES
16,17,"['ජයසූරිය', 'mathakada', 'ow', 'ow', 'sanath', 'ජයසූරිය', 'thama', 'eyatath', 'wada', 'KUJITHA', 'wela', 'yannai', 'sangata', 'wenne']",YES
18,19,"['Dana', 'reddak', 'sinhalen', 'danna', 'kiyanna', 'meka', 'lankawa']",YES
19,20,"['කියන්න', 'වැඩ', 'හොදනම්', 'හදවතින්ම', 'සපෝර්ට්', 'හැබැයි', 'පොහොට්ටුව', 'samaga', 'නොවී', 'U', 'N', 'p', 'nam', 'නම්', 'හුරේ']",YES
20,21,"['President', 'wenna', 'puluwan', 'bauddayekuta', 'witharai', 'Me', 'yaka', 'Croatian']",YES
25,26,"['ඔය', 'කාරනය', 'හරියට', 'විග්', 'රහ', 'කරන්න', 'ඩුප්ලිකේට්', 'මහමෙව්නාවේ', 'ඩුප්ලිකේට්', 'කල්', 'යාණ', 'මිතුරන්ට', 'පුලුවන්', 'නම්', 'දිව්', 'ය', 'ලෝක', 'promote', 'කරයි', 'ද']",YES
27,28,"['Aka', 'satha', '5k', 'wadi', 'karanna', 'epa', 'okunta', 'wada', 'karanna', 'bai', 'nam', 'job', 'eken', 'elawanna', 'eliye', 'job', 'nathi', 'ewun', 'oni', 'tharam', 'ennawa']",YES
32,33,"['kisi', 'quality', 'ekak', 'nathi', 'apatayek']",YES
33,34,"['Munta', 'chande', 'Dena', 'buruwo', 'innawane', 'thawath', 'me', 'rate']",YES
35,36,"['thota', 'henagapiya', 'kadaya', 'thilangayawa', 'hurathal', 'karapan', 'esige', 'putha']",YES
36,37,"['cricket', 'kridawa', 'kawe', 'oi', 'thirisana', 'oi', 'putuwa', 'deehan', 'sangata', 'Un', 'dawiwaru', 'yakooo']",YES
37,38,"['kwda', 'me', 'lat', 'roy', 'kiyana', 'ekaa', 'lat', 'hoodana', 'ekek', 'da']",YES
38,39,"['ekata', 'ape', 'eka', 'thuuu']",YES
40,41,"['dakuna', 'menessuu', 'harema', 'arthmarthakameeeeeeeeeeee']",YES
41,42,"['sinhalayo', 'kuhakayo']",YES
42,43,"['අපොයි', '2020', 'ජනාධිපති', 'නෙද', 'හුත්තෝ', 'උබ', 'උබ', 'හොදයි', 'නගරසභාවේ', 'toilet', 'සුද්ද', 'කරන්න', 'හිකුණ්ඨික', 'සක්කිලියා']",YES
44,45,"['Lankawe', 'wage', 'political', 'majarayo', 'innakam', 'police', 'quality', 'eka', 'wadi', 'karanna', 'baha']",YES
46,47,"['Lanka', 'we', 'inne', 'labba', 'bahapu', 'naki', 'police', 'karayo', 'ne', 'bulath', 'wite', 'kagena', 'ahisaka', 'bike', 'ekak', 'nawath', 'wala', 'ugen', 'rs', '500', 'aragena', 'lami', 'ta', 'ganun', 'ta', 'kanna', 'dena']",YES
47,48,"['kasippu', 'karayagen', 'ganja', 'karayagen', 'keeyak', 'hari', 'aragena', 'unge', 'bothalayata', 'yata', 'una', 'kisima', 'puhunuwak', 'nathi', 'gon', 'harak', 'tikak', 'ne', 'police', 'office', 'ekak', 'paththata', 'nikamata', 'gihilla', 'blapalla', 'ali', 'wrdi', 'walatath', 'duwana', 'un', 'inne', 'gam', 'walin', 'apu', 'rilau']",YES
49,50,"['Ape', 'polisiya', 'atule', 'tmai', 'wadiyenma', 'horu', 'inne']",YES
50,51,"['arawa', 'kanno', 'echchari', 'danne', 'policeya', 'gena']",YES
52,53,"['තුවක්කු', 'පුහුනුව', 'දෙන්නෙ', 'training', 'එකේ', 'විතරයි', 'ඉලක්කයක්', 'අරන්', 'වෙඩි', 'තියන්න', 'කී', 'දෙනාද', 'දක්ෂ', 'නාකි', 'පප්පල', 'ටික', 'ගහල', 'පන්නන්න', 'ඕන', 'ජරාව', 'කකා', 'ඉන්නන්', 'වාලේ', 'ඉන්නවට', 'අනිත්', 'එක', 'සාමාන්', 'ය', 'මිනිස්සු', 'ඉන්න', 'තත්වයකදි', 'මේ', 'විදියට', 'වෙඩි', 'තැබීම', 'අනුමත', 'කරන්න', 'බැ']",YES
53,54,"['පාතාල', 'කාරයන්ට', 'මනුස්සකමක්', 'නැනේ', 'මුන්', 'බයික්', 'වලට', 'නගිනකන්', 'ඉවසන්න', 'තිබුනේ', 'නැත්තන්', 'තත්වය', 'බලල', 'stf', 'ගෙනන්න', 'තිබුනේ', 'කොහේද', 'ලොක්කො', 'දෙන', 'අණ', 'නේ', 'අපරාදෙ', 'වටින', 'ජීවිතයක්']",YES
58,59,"['මන්නම්', 'කියන්නෙ', 'පොලිසියෙ', 'උන්නැහැලා', 'ටිකටත්', 'stf', 'පුහුණුවක්', 'අවශයයි', 'මොකද', 'හොරාට', 'පන්න', 'ගන්න', 'බැ', 'මොලෙ', 'පාවිච්චි', 'කරලා', 'හොරා', 'කොටු', 'කරගන්නෙ', 'නැ', 'ගොන්', 'වැඩ', 'ගොඩක්', 'තියෙනව']",YES
63,64,"['ratakata', 'giya', 'kalak', 'vahane', 'dora', 'arinna', 'ekek', 'help', 'kare', 'ne', 'ara', 'manussayata', 'me', 'aparade', 'karapu', 'un', 'tama', 'nidalle', 'rate', 'maha', 'un', 'ponnayo', 'ekai', 'me', 'serama', 'dewal', 'okunat', 'chance', 'denna', 'epa', 'tatwat']",YES
64,65,"['Pathali', 'para', 'haththa', 'akekwath', 'ethuru', 'karanna', 'epa', 'okunge', 'daruwanta', 'edala', 'hena', 'gahanawa', 'para', 'ballo']",YES
66,67,"['Ashi', 'Hashi', 'ඔවාට', 'දකුණේ', 'එකෙක්', 'ඒක', 'කෙලින්', 'කියන්න', 'වෙන', 'වෙන', 'සීන්', 'ගැන', 'කියල', 'මඩ', 'ගහන්නෙ', 'නැතුව']",YES
67,68,"['Ahama', 'kiyana', 'apa', 'natara', 'kiyann', 'apa', 'gama', 'policya', 'wada', 'waradagan', 'tiyana', 'nisai', 'minusu', 'ahka', 'baluwa', 'nikaruna', 'kollo', 'maranawa', 'horu', 'maragann', 'ba', 'bayta', 'akada', 'yahpalan', 'ahinsa', 'amm', 'adanwa', 'ada', 'puta', 'batuwa', 'oya', 'sakilli', 'bollonga', 'oluwata', 'waditiyala', 'danna', 'ona']",YES
70,71,"['Me', 'horu', 'training', 'une', 'koheda']",YES
71,72,"['Thattayaa', 'mokek', 'daa', 'uuu', 'karikii', 'karikii', 'innee', 'pissek', 'wagee', 'udauu', 'karannee', 'nathywaa', 'mona', 'pissek', 'daa', 'mandaa']",YES
72,73,"['Maraladanna', 'thiyenne', 'okunwa', 'mathara', 'un', 'dakune', 'kiyala', 'kehegahuwata', 'bayagullo', 'inne']",YES
74,75,"['Oya', 'jatika', 'arakahawa', 'sambanda', 'inna', 'uda', 'pena', 'pena', 'kata', 'meta', 'dodawana', 'amatio', 'dipan', 'polisiata', 'hoda', 'wepan', 'mesinngan', 'arun', 'ottu', 'sellam', 'karanawa', 'maha', 'pare', 'hat', 'denek', 'duwanawa', 'lejjai', 'dipan', 'oya', 'pattama', 'Patalema', 'Tawa', 'ekekuta', 'palayan', 'paw', 'nodi', 'gedara']",YES
75,76,"['Lankawe', 'inna', 'samahara', 'pirimi', 'napunsakayo', 'ara', 'manussayata', 'wahane', 'dora', 'arala', 'dennawat', 'kenek', 'enne', 'ne', 'mun', 'pirimida', 'ane', 'e', 'manussaya', 'veerayek', 'attatama']",YES
77,78,"['Meyata', 'aydayak', 'tibbanam', 'aniwa', 'dennekwath', 'bawanawa', 'aprade']",YES
79,80,"['Hospital', 'inna', 'ewun', 'tikath', 'wada', 'deela', 'maranda', 'thiyenne']",YES
83,84,"['Shit', 'ara', 'ekek', 'dakalat', 'dakke', 'na', 'wage', 'yanawa']",YES
84,85,"['Waha', 'palane', 'raga', 'tamai', 'oya']",YES
86,87,"['ලංකාවේ', 'hema', 'tanama', 'oya', 'wage', 'tamai', 'R', 'D', 'A', 'නිලධාරීන්', 'owa', 'දකින්නේ', 'nati', 'එක', 'හරිම', 'කනගාටුදායක', 'අපෙන්', 'බඳු', 'ගහන', 'සල්ලිවලින්', 'කරන', 'අපරාධ', 'Henaghanawa', 'munta', 'tu']",YES
87,88,"['Ape', 'peththeth', 'oya', 'wede', 'mai', 'කරන්නේ', 'මහින්ද', 'මහත්තයා', 'නැතිකම', 'දැනෙනවා', 'hitiyanam', 'අපිත්', 'ගොඩ']",YES
90,91,"['mewata', 'loku', 'baladarin', 'waga', 'kiyanna', 'ona', 'mun', 'okkoma', 'ekai', 'mahajana', 'mudal', 'nasthi', 'karana', 'kalakanni', 'balu', 'heththa']",YES
93,94,"['akke', 'aewa', 'loku', 'unge', 'weradi']",YES
94,95,"['mun', 'wage', 'kalakanni', 'innakan', 'ratawal', 'diunukarana', 'be']",YES
96,97,"['ඒත්', 'උඹ', 'අර', 'හොටු', 'පෙරං', 'අඬන', 'හෙලු', 'කෙල්ලොංගෙ', 'videosui', 'අනික්', 'ලබ්බවල්', 'වලට', 'වඩා', 'මේ', 'කරපු', 'වැඩේනම්', 'great', 'බං']",YES
97,98,"['Api', 'thathala', 'nathuwa', 'duk', 'wenwa', 'me', 'kalaknni', 'thaththala', 'idala', 'salakanne']",YES
99,100,"['thopi', 'wage', 'lamainta', 'me', 'athmedi', 'hena', 'wadina', 'ona']",YES
100,101,"['උගෙ', 'අප්පගෙ', 'නීතියක්නෙ', 'යකො', 'එක', 'අර', 'රංගෙ', 'බන්ඩාරගෙ', 'පුතා', '3', 'පාරක්', 'වාහනෙ', 'හප්පලා', 'එක', 'මිනිහෙක්', 'මරලා', 'පවුලක්', 'අබ්බගාතයො', 'කරා', 'කො', 'නිතිය', 'මෙපාර', 'ගෙයක්', 'කුඩු', 'කරලා', 'හොදටම', 'බීලා', 'වාහනෙ', 'ඇතුලෙ', 'කඩු', 'පොලු', 'තියෙද්දිත්', 'කොහොමද', 'යකො', 'ඌට', 'ඇප', 'දෙන්නෙ']",YES
101,102,"['NGO', 'වලින්ද', 'එතකොට', 'ලංකාවෙ', 'නිතිය', 'ක්රියාත්මක', 'කරන්නෙ', 'නොදකිං', 'කලකිරෙනවා', 'මෙවා', 'දැක්කම', 'මොනද', 'මෙ', 'අපෙ', 'රටට', 'වෙන්නෙ']",YES
102,103,"['Henama', 'gahapiya', 'okita', 'NGO', 'karayanta', 'puka', 'dipan', 'thawath', 'wesi', 'tho', 'marunu', 'data', 'pansukule', 'denneth', 'අපේ', 'හාමුදුරුවෝ', 'mthaka', 'thiya', 'ganin', 'thota', 'sapa', 'wenawa', 'shinhalaya', 'gana', 'ktha', 'krapu', 'අපේ', 'හාමුදුරුවන්ට', 'මෙහෙම', 'කරාට']",YES
103,104,"['Mewata', 'katha', 'karanna', 'wachana', 'ne', 'hithe', 'wairaya', 'athi', 'karanawata', 'wada', 'wadath', 'hidama', 'de', 'munta', 'swabadahama', 'thulin', 'lebena', 'දඬුවම', 'diha', 'nihathamaniwa', 'balasitimai', 'sandya', 'kiyana', 'wesa', 'genita', 'hidata', 'ninda', 'yanawa', 'athi', 'den']",YES
104,105,"['Gon', 'genita', 'saapa', 'වේවා', 'me', 'athmedima', 'palisan', 'දේවා', 'හාමුදුරුවෝ', 'namak', 'hireta', 'yeuwata']",YES
105,106,"['Hamudurowo', 'kiwe', 'aththak', 'ube', 'miniha', 'KOtiyek', 'LTTE', 'eken', 'salli', 'gaththa', 'oththu', 'karayek', 'apith', '2020', 'passe', 'me', 'kalakanni', 'anduwa', 'gedara', 'yawala', 'sahimakata', 'path', 'wenawa']",YES
106,107,"['Oyage', 'thawakalika', 'sathuta', 'uparima', 'winda', 'ganna', 'okata', 'windawanna', 'weddi', 'daraganna', 'bari', 'wei']",YES
110,111,"['Cari', 'wesi', 'Me', 'cari', 'wesige', 'puke', 'arinna', 'one', 'miriskudu', 'daala', 'balu', 'wesita', 'Katu', 'kohila', 'alayak', 'bessuwanam', 'kakul', '2ka', 'depeththata', 'karala', 'huththa', 'athulata', 'me', 'huththita', 'mita', 'wada', 'sathutak', 'lebei']",YES
112,113,"['Tho', 'ganu', 'jatiyatama', 'nindawak', 'lake', 'wadi', 'dawasak', 'Yamaha', 'thota', 'sapa', 'wenawamai']",YES
115,116,"['Meki', 'lankawe', 'janadi', 'pathinitakda', 'budu', 'dahama', 'winasa', 'karana', 'hethiriyak', 'ne']",YES
116,117,"['Podi', 'daruwo', 'dusanaya', 'karala', 'maranawa', 'ewata', 'mokuth', 'na', 'ane', 'pau', 'apahasa', 'neme', 'karanna', 'thibbe', 'kumarihamita', 'bella', 'mirikala', 'maranna']",YES
117,118,"['Tigae', 'miha', 'marapuuna', 'hiyanna', 'amruwak', 'na', 'katin', 'kiyapu', 'wacanata', 'uda', 'painawa', 'ubda', 'kada', 'hari', 'dittadamna', 'wadaniya', 'karumae', 'padisan', 'danawamai', 'budu', 'ciwarayanata', 'nigaru', 'kirimata']",YES
118,119,"['Oita', 'wada', 'hinsa', 'appa', 'rata', 'wanawa', 'podi', 'daruwo', 'antha', 'karanawa', 'apra', 'karayo', 'koha', 'baluwah', 'ma', 'gani', 'matharamma', 'sundara', 'wasthuwakda', 'balla', 'giya', 'ratak', 'apa', 'buddha', 'cjiwaraya', 'gana', 'harima', 'dukai']",YES
119,120,"['To', 'wage', 'balu', 'wesiyek', 'wadapu', 'toge', 'ammage', 'to', 'wadapu', 'tenatath', 'henagahannaona']",YES
120,121,"['Kanthawakata', 'hirihara', 'kireema', 'waradei', 'habai', 'me', 'wage', 'kotiyekuge', 'geniyekuta', 'banna', 'newei', 'maruwath', 'pau', 'na']",YES
121,122,"['Ape', 'ratata', 'mokadda', 'me', 'wenne', 'mun', 'alawanna', 'hadamu', 'mahindata', 'rata', 'barademu', 'okkoma', 'akathuwemu', 'me', 'sinhalayage', 'rata']",YES
123,124,"['Thambiyelta', 'kiyala', 'hukaganna', 'kiyahan', 'keri', 'wesita']",YES
125,126,"['Okege', 'sathuta', 'As', 'panapitama', 'padesan', 'denna', 'one']",YES
